,Cod_Muestra,Fecha,Tipo,UTM_Este,UTM_Norte,SO4,NO3,Ca,Mg,K,Na,CO3,HCO3,Cl,Fe,Cu,pH,mSO4,O18,Deuterio,TDS mg/l,EC,Salinidad,rCa,rMg,rK,rNa,rCl,rSO4,rCO3,rHCO3,rNO3,Suma Aniones [meq/l],Suma Cationes [meq/l],Balance %,O2,Li,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cr,Sn,P,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Si,eH,Do,T
226,SOC-CM-01,19-08-2022 0:00,Pozo,374838,6962270,481.101,1.5,103,45,4.5,93,0,42,111.817,0.05,1.6,7.27,5.008338538,-10.38,-77.81,544,1088,Dulce mineralizada,5.139977045,3.702941782,0.115094518,4.045272251,3.153976989,10.0163017,0,0.688331632,0.024191636,13.88280196,13.0032856,-3.271269425,,,,1,,,,,,,,,,,,,,,,,,,,,,,
227,SOC-CM-02,21-08-2022 0:00,Pozo,374530,6961290,461.688,3.051,175,45,4.4,92.5,0,188,134.599,0.05,0.6,6.65,4.806246096,-7.42,-57.5,737,1333,Dulce mineralizada,8.732970707,3.702941782,0.112536862,4.023523476,3.796579668,9.612131963,0,3.081103494,0.049205789,16.53902091,16.57197283,0.099519554,,,,1,,,,,,,,,,,,,,,,,,,,,,,
228,SOC-CM-03,21-08-2022 0:00,Pozo 8,374652,6958601,628.946,20.478,255,45,5.3,132.5,0,215,210.307,0.1,0.4,6.7,6.54742869,-10.55,-83.4,1204,2402,Salobre,12.72518589,3.702941782,0.135555766,5.763425519,5.932044668,13.09436665,0,3.5236024,0.330264221,22.88027794,22.32710895,-1.223625212,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
229,SOC-FF-04,18-08-2022 0:00,Río,378451,6939311,555.021,14.376,187,67.5,4.1,90,6.7,169,87.654,0.05,0.4,8.1,5.777857589,-10.83,-85.9,665,1310,Dulce mineralizada,9.331802984,5.554412672,0.104863894,3.914779598,2.472421,11.55528213,0.223299094,2.769715375,0.231852644,17.25257024,18.90585915,4.572347134,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
230,P1,11-08-2022 0:00,IM270 G4,374260,6961641,812.3,,411.5,75.83,8.1,161.8,0,,,0.15,0.22,7.81,8.456173225,,,1184.017,2350,Salobre,20.53495683,6.23986834,0.207170133,7.037903766,,16.91171266,0,,,,34.01989907,,,,,0.3,,0.003,,,,0.005,,0.015,,,0.05,,0.25,0.015,0.005,0.01,0.0015,,0.005,,,,
231,P2,11-08-2022 0:00,IM200,373853,6961653,997.9,,512.3,81.34,13.3,178.1,0,,,0.94,1.2,7.83,10.38829898,,,1260.3504,2507,Salobre,25.56514796,6.693272989,0.340168243,7.746913849,,20.77581935,0,,,,40.34550304,,,,,0.3,,0.006,,,,0.005,,0.015,,,0.21,,0.25,0.015,0.005,0.01,0.0015,,0.06,,,,
232,P3,11-08-2022 0:00,Pozo,374391,6961861,478.9,,181.1,51.57,6.4,115.3,0,,,22.28,0.04,7.53,4.985425776,,,423.114,785,Dulce moderadamente mineralizada,9.037377115,4.243571282,0.163689981,5.01526764,,9.970477892,0,,,,18.45990602,,,,,0.3,,0.0015,,,,0.005,,0.015,,,0.18,,0.25,0.015,0.005,0.01,0.0015,,0.02,,,,
233,P4,11-08-2022 0:00,Pozo,374530,6961290,458.9,,200.3,40.91,4.6,84.3,0,,,14.6,0.01,7.24,4.777222569,,,776.5814,1512,Dulce mineralizada,9.995508758,3.366385517,0.117652174,3.666843557,,9.554087084,0,,,,17.14639001,,,,,0.3,,0.0015,,,,0.005,,0.015,,,0.41,,0.25,0.015,,0.01,0.0015,,0.01,,,,
234,XTERRAE A-1,22-10-2015 0:00,IM200,374242,6961890,895.83,0.86,272.5,69.29,6.733,151,0,218.5307762,281.12,0.015,0.005,7.16,9.325733916,-10.85,-82.6,1754,1340,Salobre,13.59848296,5.701707468,0.172206976,6.568130214,7.929438378,18.65076887,0,3.581467756,0.013869872,30.17554487,26.04052762,-7.355578347,,,,0.1,,0.1,,,,0.005,,0.005,,,0.154,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
235,XTERRAE A-2,22-10-2015 0:00,IM135,374055,6962264,2192.05,0.025,1232,15.76,6.09,1119,0,61.06186218,2566.6,0.219,0.005,6.88,22.81959192,-10.02,-77.4,9704,6290,Salada,61.48011378,1.296852499,0.155761248,48.67375967,72.39505031,45.63747351,0,1.000733601,0.000403194,119.0336606,111.6064872,-3.220243087,,,,0.238,,0.1,,,,0.005,,0.005,,,0.364,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
